lane,total_reads,covered_reads,missing_reads
0,12,0,12
1,12,0,12
2,12,0,12
3,12,0,12
4,12,0,12
5,12,0,12
6,12,0,12
7,12,0,12
8,12,0,12
9,12,0,12
10,12,0,12
11,12,0,12
12,12,0,12
13,12,0,12
14,12,0,12
15,12,0,12
16,12,0,12
17,12,0,12
18,12,0,12
19,12,0,12
20,12,0,12
21,12,0,12
22,12,0,12
23,12,0,12
24,12,0,12
25,12,0,12
26,12,0,12
27,12,0,12
28,12,0,12
29,12,0,12
30,12,0,12
31,12,0,12
32,12,1,11
33,12,0,12
34,12,0,12
35,12,0,12
36,12,0,12
37,12,0,12
38,12,0,12
39,12,0,12
40,12,0,12
41,12,0,12
42,12,0,12
43,12,0,12
44,12,0,12
45,12,0,12
46,12,0,12
47,12,0,12
48,12,1,11
49,12,0,12
50,12,0,12
51,12,0,12
52,12,0,12
53,12,0,12
54,12,0,12
55,12,0,12
56,12,0,12
57,12,0,12
58,12,0,12
59,12,0,12
60,12,0,12
61,12,0,12
62,12,0,12
63,12,0,12
